Global Rank,Word,Flow Between Letters,Keyboard Line Flow,Key Count,Unique Keys,Repeated Keys,Flow Pattern,Pattern Type,Movement Count,Complexity,AI Suitability
49,"go","g↗o","2 keys: g → o",2,2,0,"↗","Diagonal",1,"Simple","Excellent"
56,"no","n↗o","2 keys: n → o",2,2,0,"↗","Diagonal",1,"Simple","Excellent"
65,"good","g↗o·o↙d","3 keys: g → o → d",3,3,0,"↗·↙","Diagonal",3,"Simple","Excellent"
76,"come","c↗o↙m↖e","4 keys: c → o → m → e",4,4,0,"↗↙↖","Diagonal",3,"Simple","Excellent"
78,"over","o↙v↖e→r","4 keys: o → v → e → r",4,4,0,"↙↖→","Diagonal",3,"Simple","Excellent"
92,"want","w↙a↘n↖t","4 keys: w → a → n → t",4,4,0,"↙↘↖","Diagonal",3,"Simple","Excellent"
97,"water","w↙a↗t←e→r","5 keys: w → a → t → e → r",5,5,0,"↙↗←→","Horizontal",4,"Medium","Excellent"
98,"play","p↙l←a↗y","4 keys: p → l → a → y",4,4,0,"↙←↗","Diagonal",3,"Simple","Excellent"
99,"walk","w↙a→l←k","4 keys: w → a → l → k",4,4,0,"↙→←","Horizontal",3,"Simple","Excellent"
Custom,"react","r←e↙a↘c↗t","5 keys: r → e → a → c → t",5,5,0,"←↙↘↗","Diagonal",4,"Medium","Excellent"
Custom,"javascript","j←a↘v↖a→s↘c↗r→i→p←t","9 keys: j → a → v → s → c → r → i → p → t",9,9,0,"←↘↖→↘↗→→←","Horizontal",9,"Complex","Challenging"
Custom,"typescript","t→y→p←e↙s↘c↗r→i→p←t","8 keys: t → y → p → e → s → c → r → i",8,8,0,"→→←↙↘↗→→←","Horizontal",9,"Complex","Challenging"
Custom,"programming","p←r→o↙g↖r↙a↘m·m↗i↙n↖g","8 keys: p → r → o → g → a → m → i → n",8,8,0,"←→↙↖↙↘·↗↙↖","Horizontal",10,"Complex","Challenging"
Custom,"development","d↑e↘v↖e↘l↑o→p↙m↖e↘n↖t","9 keys: d → e → v → l → o → p → m → n → t",9,9,0,"↑↘↖↘↑→↙↖↘↖","Diagonal",10,"Complex","Challenging"
Custom,"interface","i↙n↖t←e→r↓f←a↘c↑e","8 keys: i → n → t → e → r → f → a → c",8,8,0,"↙↖←→↓←↘↑","Horizontal",8,"Complex","Challenging"
Custom,"component","c↗o↙m↗p←o↙n↖e↘n↖t","7 keys: c → o → m → p → n → e → t",7,7,0,"↗↙↗←↙↖↘↖","Diagonal",8,"Complex","Challenging"
Custom,"design","d↑e↙s↗i↙g↘n","6 keys: d → e → s → i → g → n",6,6,0,"↑↙↗↙↘","Diagonal",5,"Medium","Excellent"
Custom,"keyboard","k↖e→y↙b↗o↙a↗r↙d","8 keys: k → e → y → b → o → a → r → d",8,8,0,"↖→↙↗↙↗↙","Diagonal",7,"Complex","Challenging"
Custom,"conju","c↗o↙n↗j↑u","5 keys: c → o → n → j → u",5,5,0,"↗↙↗↑","Diagonal",4,"Medium","Excellent"
Custom,"hello","h↖e↘l·l↑o","4 keys: h → e → l → o",4,4,0,"↖↘·↑","Diagonal",4,"Medium","Excellent"
Custom,"world","w→o←r↘l←d","5 keys: w → o → r → l → d",5,5,0,"→←↘←","Horizontal",4,"Medium","Excellent"
Custom,"type","t→y→p←e","4 keys: t → y → p → e",4,4,0,"→→←","Horizontal",3,"Simple","Excellent"
Custom,"flow","f→l↑o←w","4 keys: f → l → o → w",4,4,0,"→↑←","Horizontal",3,"Simple","Excellent"
Custom,"pattern","p↙a↗t·t←e→r↘n","6 keys: p → a → t → e → r → n",6,6,0,"↙↗·←→↘","Horizontal",6,"Medium","Excellent"
Custom,"quick","q→u→i↙c↗k","5 keys: q → u → i → c → k",5,5,0,"→→↙↗","Diagonal",4,"Medium","Excellent"
